id,식당명,링크,전화번호,주소
1,요멘야 고에몬 강남점,https://place.map.kakao.com/18356174,02-534-8036,서울 서초구 서초동 1317-13 서초빌딩 1층
2,더플라잉팬 레드,https://place.map.kakao.com/14608335,02-590-2488,서울 서초구 서초대로 411 지하 1층 (GT타워)
3,스타벅스 강남GT타워점,https://place.map.kakao.com/17884758,1522-3232,서울 서초구 서초대로 411 (GT타워)
4,로티바,https://place.map.kakao.com/851527107,,
5,대운식당,https://place.map.kakao.com/1276802054,02-564-4559,서울 강남구 역삼로5길 6
6,남도랑,https://place.map.kakao.com/10188823,02-555-3264,서울 강남구 역삼로길 5
7,슬로우앤로 역삼점,https://place.map.kakao.com/1266451366,02-557-3668,서울 강남구 언주로85길 32 1층
8,인생김치찜 강남점,https://place.map.kakao.com/1810904721,,
9,한사발포차 역삼점,https://place.map.kakao.com/547709190,0507-1309-9614,서울 강남구 역삼로3길 10-2 1층
10,강남곱,https://place.map.kakao.com/263830255,0507-1343-7592,서울 강남구 역삼로3길 12
11,비욘더 시그니쳐 오일 파스타,https://place.map.kakao.com/791185768,0507-1488-8866,
12,더탕수육,https://place.map.kakao.com/81183653,0507-1475-1366,서울 강남구 역삼로7길 13 1층 102호 (파크앤스위트)
13,풍년닭도리탕 강남역삼직영점,https://place.map.kakao.com/1278803283,02-568-9118,서울 강남구 역삼로7길 17 네스빌
14,사오월,https://place.map.kakao.com/548105247,,
15,남도예찬,https://place.map.kakao.com/1998349174,,
16,사보텐 아워홈빌딩점,https://place.map.kakao.com/17500157,02-552-4510,서울 강남구 역삼로 115 (아워홈빌딩 1층)
17,맥도날드 강남2호점,https://place.map.kakao.com/22318989,02-6205-6400,서울 강남구 테헤란로 107 (메디타워)
18,감성타코 강남역점,https://place.map.kakao.com/1465968863,02-565-8830,서울 강남구 강남대로 406 지하1층
19,장인 닭갈비 강남점,https://place.map.kakao.com/95713992,02-3452-3441,서울 강남구 테헤란로1길 19
20,주신당 강남,https://place.map.kakao.com/245883768,,서울 강남구 강남대로96길 9 B1
21,두끼 강남역점,https://place.map.kakao.com/2075704772,02-3454-1009,서울 강남구 강남대로94길 11 (2층)
22,써브웨이,https://place.map.kakao.com/19157089,02-3478-1014,서울 서초구 서초대로 411 (GT타워)
23,동두천솥뚜껑삼겹살 강남역점,https://place.map.kakao.com/312908843,0507-1402-8897,서울 강남구 테헤란로1길 20 2층
24,삼해수산 강남본점,https://place.map.kakao.com/23900184,0507-1404-9901,서울 강남구 강남대로94길 9
25,다운타우너 강남,https://place.map.kakao.com/148951231,,
26,전설의 우대갈비 강남직영점,https://place.map.kakao.com/97723360,02-566-9050,서울 강남구 강남대로94길 10 3층 1호
27,단성무이 강남점,https://place.map.kakao.com/1474871711,0507-1424-4655,서울 강남구 강남대로96길 16 1층
28,알부자,https://place.map.kakao.com/11463001,0507-1362-4629,서울 강남구 강남대로98길 14
29,백운축산 소한마리 정육식당 강남역점,https://place.map.kakao.com/1422369790,,
30,153구포국수,https://place.map.kakao.com/1105456497,0507-1441-6679,서울 강남구 테헤란로4길 6 강남역 센트럴 푸르지오 시티 107호
31,포케올데이,https://place.map.kakao.com/1102330630,,
32,영덕물회막회,https://place.map.kakao.com/8504621,0507-1357-0002,서울 강남구 삼성로96길 6 파르크노보 1층 102호
33,조양관,https://place.map.kakao.com/8086138,02-3473-8181,서울 서초구 서초대로74길 29 서초파라곤 지하1층
34,무아국수,https://place.map.kakao.com/14826741,02-3443-1143,서울 강남구 학동로 338 강남파라곤 B114호
35,동달 식당,https://place.map.kakao.com/393701929,02-3471-9700,서울 서초구 서운로 133 (서초동 1322-12)
36,김인복의 광평,https://place.map.kakao.com/350379763,02-581-2235,서울 서초구 서운로 135
37,진대감,https://place.map.kakao.com/1332451453,02-596-0715,서울 서초구 서초대로73길 54 서초오피스텔 1층 101호
38,우밀가,https://place.map.kakao.com/568363045,0507-1431-1855,서울 서초구 서초대로78길 52 1층 101호
39,이태리부대찌개,https://place.map.kakao.com/1528880295,02-569-0417,서울 강남구 테헤란로4길 40 신소애빌딩 2층
40,군선생,https://place.map.kakao.com/406698541,02-587-1676,서울 서초구 강남대로55길 24 풍림아이원매직 지하1층
41,하노이의 아침,https://place.map.kakao.com/21183574,02-534-5320,서울 서초구 강남대로55길 24
42,걸신맛집,https://place.map.kakao.com/18716713,02-566-9285,서울 강남구 테헤란로6길 29
43,꼬끼오장작구이,https://place.map.kakao.com/1174023878,0507-1321-9010,서울 강남구 강남대로84길 34
44,라라식당,https://place.map.kakao.com/1885867789,0507-1342-9171,서울 강남구 테헤란로4길 6 강남역 센트럴 푸르지오 시티 지하1층 B121호
45,강남막국수&보쌈,https://place.map.kakao.com/1231678198,02-2055-1191,서울 서초구 서초대로74길 29 1층 105호
46,썬더볼드,https://place.map.kakao.com/26528091,02-562-8291,서울 강남구 강남대로84길 15
47,한성양갈비양꼬치,https://place.map.kakao.com/25115599,02-589-8892,서울 서초구 반포대로28길 71-18
48,에머이,https://place.map.kakao.com/867996705,02-568-0788,서울 강남구 테헤란로2길 27 2층 201호
49,고등어식당,https://place.map.kakao.com/16270601,02-2050-0095,서울 강남구 강남대로84길 33
